Unsaved report,,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,,
Day,Campaign, Clicks , Impressions , Cost , Avg. position , Conversions ,Search Impr. share,index
1/10/2019,Google - Generic - Massage - SKAG - National,74,2530,66,3,1,10%,201
1/10/2019,Google - Generic - Corporate - Massage,12,803,49,3,3,31.84%,202
1/10/2019,Google - UAC - In Home - Android,117,3712,22,3,13,10%,203
1/10/2019,Google - Generic - Massage Types,18,911,20,3,0,27.40%,204
1/10/2019,Google - Generic - DSA,68,970,17,3,0,10%,205
1/10/2019,Google - Generic - Masseuse,0,14,0,2,0,93.33%,206
1/10/2019,Google - Generic - In Home - Competitors Reme,0,10,0,2,0,71.43%,207
1/10/2019,Google - Generic - Therapist - CA,0,10,0,2,0,66.67%,208
1/10/2019,Google - Generic - In Home - Massage Home Modifier - National,208,3080,789,2,1,73.86%,209
1/10/2019,Google - Generic - Massage - Core - National,141,2961,323,2,1,24.03%,210
1/10/2019,Google - Generic - Competitors,27,1132,37,2,1,10.86%,211
1/10/2019,Google - Brand - Corporate - Brand,3,13,8,2,0,100.00%,212
1/10/2019,Google - Generic - Therapist - US,1,8,1,2,0,16.00%,213
1/10/2019,Google - Brand - Core - SKAG,141,761,263,1,11,98.83%,214
1/10/2019,Google - Brand - Extra Tokens,58,346,77,1,6,37.12%,215
1/10/2019,Croud_Google_GDN_In Home_Re-engagement,3,788,34,1,0,0,216
1/10/2019,Google - Generic - Google Play - App,7,58,25,1,0,100.00%,217
1/10/2019,Croud_Google_GDN_In Home_Membership Remarketing,6,2778,23,1,0,0,218
1/10/2019,Croud_Google_GDN_In Home_Re-marketing,12,5589,17,1,0,0,219
1/11/2019,Google - Generic - In Home - Massage Memberships,0,2,0,4,0,22.22%,220
1/11/2019,Google - Generic - Geo Keywords - Massage,231,8219,229,3,3,18.31%,221
1/11/2019,Google - Generic - Corporate - Massage,18,765,144,3,2,30.61%,222
1/11/2019,Google - Generic - Massage - SKAG - National,67,2376,57,3,2,10%,223
1/11/2019,Google - Generic - Massage Types,41,1432,46,3,0,23.74%,224
1/11/2019,Google - Generic - Masseuse,7,169,19,3,0,55.59%,225
1/11/2019,Google - UAC - In Home - Android,104,3052,17,3,20,10%,226
1/11/2019,Google - Generic - DSA,81,893,12,3,0,10%,227
1/11/2019,Google - Generic - Corporate - Competitor,1,26,2,3,0,11.76%,228
1/11/2019,Google - Generic - Therapist - CA,0,27,0,2,0,72.97%,229
1/11/2019,Google - Generic - In Home - Massage Home Modifier - National,206,2760,865,2,5,74.74%,230
1/11/2019,Google - Generic - Massage - Core - National,149,3011,349,2,4,23.25%,231
1/11/2019,Google - Generic - Competitors,54,1552,92,2,1,14.72%,232
1/11/2019,Google - Brand - Corporate - Brand,4,9,11,2,1,90.00%,233
1/11/2019,Google - Generic - In Home - Competitors Reme,1,22,5,2,0,88.00%,234
1/11/2019,Google - Generic - Therapist - US,1,12,1,2,0,32.43%,235
1/11/2019,Google - Brand - Core - SKAG,143,748,181,1,12,100.00%,236
1/11/2019,Google - Brand - Extra Tokens,50,340,98,1,9,40.33%,237
1/11/2019,Croud_Google_GDN_In Home_Membership Remarketing,5,3524,23,1,0,0,238
1/11/2019,Croud_Google_GDN_In Home_Re-engagement,2,3336,22,1,0,0,239
1/11/2019,Croud_Google_GDN_In Home_Re-marketing,19,4828,20,1,0,0,240
1/11/2019,Google - Generic - Google Play - App,7,67,17,1,0,98.53%,241
1/12/2019,Google - Generic - In Home - Massage Memberships,0,2,0,5,0,25.00%,242
1/12/2019,Google - Generic - Corporate - Competitor,0,27,0,4,0,10.80%,243
1/12/2019,Google - Generic - Geo Keywords - Massage,256,8126,244,3,7,19.66%,244
1/12/2019,Google - Generic - Massage - SKAG - National,111,3117,95,3,3,10%,245
1/12/2019,Google - Generic - Massage Types,70,1824,83,3,0,26.99%,246
1/12/2019,Google - Generic - Corporate - Massage,13,772,51,3,1,33.95%,247
1/12/2019,Google - Generic - Masseuse,8,262,26,3,0,63.29%,248
1/12/2019,Google - Generic - DSA,93,998,16,3,1,10%,249
1/12/2019,Google - Generic - Therapist - CA,0,14,0,2,0,87.50%,250
1/12/2019,Google - Generic - In Home - Massage Home Modifier - National,265,2695,1070,2,10,79.03%,251
1/12/2019,Google - Generic - Massage - Core - National,160,3244,394,2,3,22.94%,252
1/12/2019,Google - Generic - Competitors,76,2027,123,2,2,18.39%,253
1/12/2019,Google - UAC - In Home - Android,151,5133,25,2,24,10%,254
1/12/2019,Google - Generic - Therapist - US,1,12,1,2,0,34.29%,255
1/12/2019,Croud_Google_GDN_In Home_Re-engagement,0,2081,0,1,0,0,256
1/12/2019,Google - Generic - In Home - Competitors Reme,0,4,0,1,0,66.67%,257
1/12/2019,Google - Brand - Core - SKAG,115,626,120,1,15,100.00%,258
1/12/2019,Google - Brand - Extra Tokens,64,292,110,1,6,40.73%,259
1/12/2019,Google - Generic - Google Play - App,10,86,30,1,0,100.00%,260
