Unsaved report,,,,,,,
"January 1, 2019 - August 24, 2019",,,,,,,
Day,Campaign, Clicks , Impressions , Cost , Avg. position , Conversions ,Search Impr. share
8/4/2019,Google - Brand - Corporate - Brand, -   ,2.00, -   ,2.00, -   ,100.00%
8/4/2019,Google - Generic - In Home - Massage Home Modifier - National,273.00,2203.00,801.00,2.00,16.00,60.20%
8/4/2019,Google - Generic - Geo Keywords - Massage,362.00,9688.00,789.00,2.00,10.00,25.57%
8/4/2019,Google - Generic - Massage - Core - Focus,48.00,773.00,172.00,2.00,2.00,37.32%
8/4/2019,Google - Generic - Assisted Stretching - NYC Geo,4.00,133.00,12.00,2.00, -   ,67.86%
8/5/2019,Google - Generic - Massage - SKAG - National,92.00,2928.00,177.00,2.00,2.00,12.47%
8/5/2019,Google - Generic - Corporate - Massage,11.00,349.00,110.00,4.00, -   ,36.39%
8/5/2019,Google - UAC - In Home - Android,489.00,51021.00,17.00,1.00,22.00,<10%
8/5/2019,Google - Generic - In Home - Massage Home Modifier - National,213.00,2292.00,619.00,2.00,6.00,55.79%
8/5/2019,Google - Generic - Masseuse,2.00,13.00,5.00,1.00, -   ,100.00%
8/5/2019,Google - Brand - Extra Tokens,48.00,230.00,199.00,1.00,4.00,100.00%
8/5/2019,Google - Generic - Geo Keywords - Massage,350.00,10799.00,741.00,2.00,10.00,24.93%
8/5/2019,Google - Generic - In Home - Massage Home Modifier - Focus,38.00,355.00,280.00,1.00,1.00,76.18%
8/5/2019,Google - Generic - Massage - Core - Focus,36.00,644.00,163.00,2.00,1.00,35.88%
8/5/2019,YouTube - Retargeting - Non Visiting Video Watchers - CPM, -   ,124.00,0.00,1.00, -   , --
8/6/2019,Google - Generic - Massage - SKAG - National,179.00,6785.00,450.00,2.00,5.00,15.18%
8/6/2019,Google - Generic - DSA,23.00,267.00,7.00,3.00, -   ,<10%
8/6/2019,Google - Generic - Corporate - Massage,8.00,313.00,49.00,4.00, -   ,36.69%
8/6/2019,Google - Generic - Competitors,23.00,729.00,135.00,2.00,1.00,<10%
8/6/2019,Google - UAC - In Home - Android,651.00,51304.00,24.00,1.00,19.00,<10%
