,# ----------------------------------------,,,,,,,,
,# www.zeel.com,,,,,,,,
,# New Custom Report,,,,,,,,
,# 20190726-20190824,,,,,,,,
,# ----------------------------------------,,,,,,,,
,,,,,,,,,
Index,Age,Affinity Category (reach),Gender,Region,Device Category,Sessions,Avg. Session Duration,Pages / Session,All 5 Flow Conversions
83,35-44,Travel/Travel Buffs,female,California,desktop,681,0:04:15,6.07,27
84,25-34,Lifestyles & Hobbies/Art & Theater Aficionados,male,California,desktop,679,0:03:12,5.94,14
85,35-44,Technology/Technophiles,male,California,desktop,673,0:02:12,5.63,10
86,25-34,Shoppers/Luxury Shoppers,female,New York,desktop,669,0:04:55,5.34,23
87,25-34,Shoppers/Bargain Hunters,female,California,desktop,667,0:05:14,5.45,12
88,25-34,Food & Dining/Cooking Enthusiasts/30 Minute Chefs,female,California,desktop,662,0:05:17,6.28,13
89,25-34,Shoppers/Luxury Shoppers,female,California,desktop,655,0:03:56,5.58,16
90,35-44,Lifestyles & Hobbies/Art & Theater Aficionados,female,California,desktop,648,0:04:18,5.78,25
91,25-34,News & Politics/Avid News Readers,male,California,desktop,642,0:02:47,5.78,17
92,35-44,Shoppers/Shoppers by Store Type/Department Store Shoppers,female,California,desktop,636,0:04:45,6.2,24
93,25-34,Sports & Fitness/Health & Fitness Buffs,male,New York,desktop,634,0:03:55,5.27,13
94,35-44,Shoppers/Value Shoppers,female,California,desktop,629,0:03:58,5.92,23
95,25-34,Lifestyles & Hobbies/Shutterbugs,female,California,desktop,628,0:03:48,6.26,17
96,35-44,Banking & Finance/Avid Investors,female,California,desktop,613,0:04:38,6.12,20
97,25-34,Lifestyles & Hobbies/Thrill Seekers,male,California,desktop,612,0:02:12,6.1,12
98,35-44,Media & Entertainment/Movie Lovers,female,California,desktop,611,0:04:09,5.89,23
99,25-34,Food & Dining/Coffee Shop Regulars,male,New York,desktop,608,0:03:23,4.93,14
100,25-34,Travel/Travel Buffs,male,New York,desktop,608,0:03:09,4.96,13
101,35-44,Sports & Fitness/Health & Fitness Buffs,male,California,desktop,608,0:02:19,5.47,11
102,25-34,Travel/Business Travelers,male,New York,desktop,601,0:02:55,4.98,12
103,35-44,Travel/Travel Buffs,male,California,desktop,588,0:02:23,5.74,14
104,35-44,Travel/Business Travelers,female,California,desktop,579,0:04:34,6.01,18
105,25-34,Shoppers/Value Shoppers,female,California,mobile,578,0:01:54,4.2,15
106,25-34,News & Politics/Avid News Readers,female,New York,desktop,573,0:03:31,5.17,13
107,25-34,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,male,New York,desktop,572,0:02:51,4.72,9
108,25-34,Food & Dining/Foodies,female,California,mobile,568,0:01:59,4.26,12
109,25-34,Beauty & Wellness/Frequently Visits Salons,male,New York,desktop,567,0:03:04,4.98,12
110,25-34,Shoppers/Value Shoppers,male,New York,desktop,558,0:02:45,4.61,9
111,35-44,Food & Dining/Foodies,female,California,desktop,555,0:04:15,5.72,20
112,35-44,Sports & Fitness/Health & Fitness Buffs,female,California,desktop,553,0:03:46,5.66,18
113,35-44,Beauty & Wellness/Frequently Visits Salons,male,California,desktop,552,0:02:29,5.72,11
114,25-34,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Breakfast Out,male,California,desktop,551,0:03:30,6.2,17
115,25-34,Travel/Travel Buffs/Beachbound Travelers,female,California,desktop,547,0:05:14,6.2,20
116,25-34,Lifestyles & Hobbies/Business Professionals,male,New York,desktop,546,0:02:52,4.74,9
117,25-34,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Lunch Out,female,New York,desktop,545,0:05:10,5.55,19
118,35-44,Technology/Technophiles,female,California,desktop,543,0:04:10,6.19,18
119,35-44,Shoppers/Value Shoppers,male,California,mobile,542,0:01:40,3.51,9
120,35-44,Food & Dining/Coffee Shop Regulars,female,California,desktop,539,0:03:52,5.94,20
121,35-44,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,female,California,desktop,539,0:04:26,5.96,20
122,25-34,Media & Entertainment/Comics & Animation Fans,male,California,desktop,538,0:03:05,5.62,9
123,25-34,Technology/Technophiles,male,New York,desktop,538,0:02:39,4.46,7
124,35-44,Food & Dining/Frequently Dines Out/Diners by Meal/Frequently Eats Dinner Out,male,California,desktop,537,0:02:10,5.63,6
125,25-34,Food & Dining/Fast Food Cravers,female,California,desktop,534,0:06:23,5.25,8
126,25-34,Lifestyles & Hobbies/Frequently Attends Live Events,male,New York,desktop,533,0:02:59,4.98,9
127,35-44,Lifestyles & Hobbies/Business Professionals,male,California,mobile,532,0:01:35,3.33,4
128,25-34,Banking & Finance/Avid Investors,male,New York,desktop,531,0:02:34,4.46,10
129,35-44,Lifestyles & Hobbies/Family-Focused,female,California,desktop,531,0:03:25,5.68,18
130,35-44,Lifestyles & Hobbies/Fashionistas,female,California,desktop,530,0:03:21,5.81,21
131,25-34,Media & Entertainment/TV Lovers,female,California,desktop,529,0:06:06,5.98,13
